epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7557,1.50425,3.64017,3.15158,1.20067,0.06902,0.49276,0.47472,0.34499,0.06871,0.49056,0.4694,0.2901,0.99489,2.16517,2.5084,0.97208,0.0689308,0.00163522,0.00163522
2,52.6117,1.10981,2.24308,1.43865,0.9775,0.97201,0.469,0.74827,0.56725,0.97296,0.46573,0.72645,0.47033,0.96807,1.76831,1.33467,0.9554,0.0372625,0.00330025,0.00330025
3,74.9416,1.06488,2.0741,0.9937,0.94626,0.80476,0.76506,0.83555,0.58545,0.7787,0.7418,0.79632,0.48912,0.90849,1.59991,0.94841,0.93798,0.00559257,0.00496363,0.00496363
4,96.1999,1.06966,1.95168,0.91752,0.94497,0.79635,0.82527,0.85625,0.57798,0.79061,0.76521,0.80847,0.45132,1.01021,1.71426,0.84458,0.95998,0.00499257,0.00499257,0.00499257
5,117.367,1.02082,1.86792,0.85307,0.93752,0.82009,0.83315,0.86542,0.59019,0.79727,0.80499,0.83026,0.49865,1.00773,1.54878,0.78872,0.96179,0.0049901,0.0049901,0.0049901
6,139.039,1.00035,1.79389,0.82411,0.92981,0.83404,0.83707,0.88058,0.61582,0.8149,0.81646,0.85508,0.52231,0.89073,1.47463,0.72117,0.9261,0.00498763,0.00498763,0.00498763
7,160.726,0.9828,1.73586,0.78444,0.92366,0.83904,0.84577,0.88732,0.62649,0.82227,0.81442,0.85,0.52348,0.89505,1.44038,0.67083,0.92179,0.00498515,0.00498515,0.00498515
8,182.873,0.96344,1.72813,0.7713,0.92016,0.84275,0.84648,0.89304,0.63635,0.82951,0.8282,0.86814,0.54333,0.88568,1.38809,0.66294,0.91753,0.00498268,0.00498268,0.00498268
9,205.407,0.94353,1.68213,0.75458,0.91612,0.83465,0.84563,0.88792,0.62667,0.83275,0.82789,0.87045,0.55108,0.91204,1.40351,0.6703,0.92503,0.0049802,0.0049802,0.0049802
10,226.743,0.9499,1.65966,0.7402,0.91697,0.83931,0.86445,0.89163,0.6288,0.83412,0.84777,0.87816,0.55328,0.90524,1.39341,0.64314,0.92129,0.00497773,0.00497773,0.00497773
11,249.194,0.93708,1.68877,0.72514,0.91238,0.84405,0.8627,0.89496,0.64989,0.83004,0.84521,0.87482,0.54832,0.83991,1.37349,0.63182,0.90673,0.00497525,0.00497525,0.00497525
12,271.553,0.93345,1.63585,0.71249,0.91275,0.84043,0.86305,0.89288,0.63912,0.82081,0.83161,0.8612,0.54026,0.87432,1.40968,0.68292,0.9189,0.00497278,0.00497278,0.00497278
13,293.121,0.92271,1.62478,0.70011,0.90658,0.83176,0.87101,0.89195,0.64702,0.81825,0.85507,0.87003,0.55062,0.83184,1.34845,0.62399,0.90867,0.0049703,0.0049703,0.0049703
14,314.32,0.92329,1.60758,0.68311,0.90558,0.8428,0.86272,0.9009,0.65493,0.82994,0.85877,0.88592,0.5546,0.83562,1.34721,0.60569,0.90841,0.00496783,0.00496783,0.00496783
15,336.316,0.90484,1.60037,0.68119,0.90425,0.80242,0.75295,0.81378,0.55261,0.78584,0.72814,0.78245,0.45719,1.03437,1.73099,0.83916,0.9802,0.00496535,0.00496535,0.00496535
16,357.56,0.89395,1.56976,0.67923,0.90282,0.84716,0.86091,0.90221,0.65638,0.83201,0.84596,0.87994,0.55341,0.82388,1.36706,0.57597,0.91155,0.00496288,0.00496288,0.00496288
17,378.882,0.90091,1.56468,0.66298,0.90255,0.86251,0.86552,0.90724,0.65981,0.84923,0.84509,0.88473,0.55466,0.84249,1.31982,0.59593,0.90795,0.0049604,0.0049604,0.0049604
18,400.723,0.91543,1.59972,0.66631,0.90015,0.85176,0.85765,0.90518,0.66356,0.83643,0.83941,0.88036,0.55553,0.81094,1.30392,0.56488,0.90262,0.00495793,0.00495793,0.00495793
19,422.29,0.90573,1.56509,0.66004,0.90183,0.84316,0.86816,0.90536,0.66205,0.83247,0.85418,0.88537,0.56773,0.81864,1.29978,0.56366,0.90245,0.00495545,0.00495545,0.00495545
20,444.093,0.891,1.54627,0.64118,0.9011,0.85462,0.85359,0.90664,0.65236,0.83746,0.83584,0.88267,0.55399,0.86806,1.31552,0.58901,0.91213,0.00495298,0.00495298,0.00495298
21,465.394,0.89935,1.57535,0.66127,0.89774,0.85938,0.86091,0.90847,0.66277,0.84556,0.84717,0.89066,0.56692,0.82102,1.30523,0.55989,0.90324,0.0049505,0.0049505,0.0049505
22,486.834,0.88621,1.55243,0.62974,0.8983,0.86013,0.86363,0.91081,0.6727,0.85131,0.85162,0.89744,0.57689,0.79758,1.27949,0.54387,0.89588,0.00494803,0.00494803,0.00494803
23,508.005,0.88798,1.53238,0.62964,0.89407,0.85851,0.85292,0.90562,0.6647,0.84225,0.83715,0.88527,0.55294,0.82202,1.31776,0.56644,0.90391,0.00494555,0.00494555,0.00494555
24,529.177,0.87354,1.51391,0.62549,0.89665,0.85195,0.85523,0.9004,0.65701,0.84818,0.84278,0.89034,0.57587,0.85217,1.30354,0.56048,0.90517,0.00494307,0.00494307,0.00494307
25,550.386,0.89886,1.55378,0.64,0.89744,0.86106,0.85987,0.90933,0.66731,0.84642,0.84578,0.88914,0.57687,0.82419,1.27351,0.55207,0.89951,0.0049406,0.0049406,0.0049406
26,571.546,0.86803,1.49455,0.621,0.89738,0.8483,0.86586,0.90675,0.66385,0.84199,0.84181,0.8855,0.56684,0.84898,1.29425,0.55823,0.90638,0.00493813,0.00493813,0.00493813
27,592.348,0.8668,1.51437,0.61294,0.89655,0.85995,0.85672,0.90934,0.66888,0.85676,0.83807,0.89026,0.57879,0.82098,1.29479,0.53109,0.90119,0.00493565,0.00493565,0.00493565
28,612.93,0.8698,1.4942,0.6134,0.89676,0.85488,0.87311,0.91085,0.67021,0.84856,0.85623,0.8952,0.57992,0.80685,1.28135,0.53195,0.89789,0.00493318,0.00493318,0.00493318
29,634.65,0.85836,1.47353,0.6136,0.89339,0.84668,0.87607,0.91423,0.67255,0.83189,0.85856,0.89406,0.57307,0.81706,1.263,0.52523,0.90139,0.0049307,0.0049307,0.0049307
30,654.906,0.87651,1.51276,0.59854,0.89412,0.85826,0.86491,0.90856,0.66606,0.84793,0.85447,0.89504,0.5834,0.83119,1.27828,0.52531,0.90321,0.00492823,0.00492823,0.00492823
31,675.912,0.85636,1.48094,0.60564,0.89645,0.85436,0.87031,0.90844,0.67356,0.84525,0.85555,0.89447,0.57515,0.80482,1.28924,0.52232,0.89603,0.00492575,0.00492575,0.00492575
32,696.493,0.86027,1.49503,0.59278,0.89187,0.86453,0.85706,0.91084,0.6745,0.85893,0.83669,0.89264,0.57589,0.81245,1.27601,0.53731,0.89954,0.00492328,0.00492328,0.00492328
33,717.831,0.87517,1.50302,0.60562,0.89261,0.84685,0.83919,0.89385,0.63106,0.83933,0.81799,0.87462,0.55011,0.95972,1.45761,0.62151,0.93557,0.0049208,0.0049208,0.0049208
34,738.653,0.85948,1.47493,0.5967,0.88852,0.86222,0.87007,0.91306,0.67551,0.84895,0.85213,0.89261,0.56648,0.80169,1.26257,0.5118,0.89552,0.00491833,0.00491833,0.00491833
35,759.406,0.86767,1.48865,0.5908,0.8922,0.85695,0.87073,0.91036,0.6635,0.84797,0.85278,0.89439,0.56354,0.84824,1.27531,0.50712,0.90241,0.00491585,0.00491585,0.00491585
36,779.344,0.8532,1.49599,0.58682,0.89257,0.84951,0.87942,0.91566,0.68763,0.83664,0.86613,0.89707,0.58097,0.76917,1.24751,0.51108,0.89112,0.00491338,0.00491338,0.00491338
37,799.955,0.85289,1.46171,0.5859,0.89223,0.85662,0.86746,0.9137,0.67565,0.85528,0.84353,0.89821,0.58758,0.81435,1.24847,0.50636,0.89819,0.0049109,0.0049109,0.0049109
38,820.991,0.85076,1.44533,0.59475,0.88892,0.86996,0.86436,0.91362,0.67166,0.85798,0.85151,0.89785,0.57541,0.83475,1.30338,0.56259,0.90271,0.00490843,0.00490843,0.00490843
39,842.053,0.86,1.49163,0.58557,0.89141,0.85274,0.88077,0.91184,0.6769,0.83934,0.86784,0.89354,0.56672,0.79596,1.25706,0.49337,0.89485,0.00490595,0.00490595,0.00490595
40,862.548,0.86155,1.47455,0.57839,0.89023,0.85145,0.87876,0.91285,0.68362,0.845,0.86102,0.8992,0.58567,0.77917,1.24524,0.48964,0.89079,0.00490348,0.00490348,0.00490348
41,884.358,0.86039,1.47869,0.57287,0.8875,0.85004,0.87742,0.91094,0.67528,0.83956,0.86427,0.89731,0.5727,0.80771,1.27159,0.49663,0.89658,0.004901,0.004901,0.004901
42,905.068,0.84339,1.45426,0.56459,0.88663,0.85653,0.87644,0.91518,0.68457,0.84517,0.86101,0.89852,0.58285,0.77876,1.26246,0.48258,0.89229,0.00489852,0.00489852,0.00489852
43,925.829,0.83642,1.44861,0.57435,0.88904,0.85799,0.86991,0.91461,0.68132,0.84859,0.85621,0.9001,0.5857,0.80391,1.25163,0.50442,0.89419,0.00489605,0.00489605,0.00489605
44,946.83,0.83091,1.43085,0.56566,0.88657,0.85909,0.86444,0.91169,0.67083,0.85293,0.84958,0.89674,0.579,0.82684,1.26014,0.50272,0.90161,0.00489357,0.00489357,0.00489357
45,967.436,0.84749,1.4624,0.56904,0.88418,0.86936,0.86438,0.91662,0.68412,0.85961,0.84568,0.8942,0.56763,0.76372,1.24063,0.48104,0.89023,0.0048911,0.0048911,0.0048911
46,987.973,0.84356,1.44819,0.5685,0.89192,0.87149,0.86481,0.9178,0.6878,0.86197,0.84036,0.89481,0.5735,0.76432,1.23671,0.48639,0.88951,0.00488863,0.00488863,0.00488863
47,1008.73,0.83426,1.44193,0.5559,0.88458,0.86164,0.87162,0.91573,0.68796,0.85357,0.85508,0.90233,0.57766,0.7823,1.23462,0.48406,0.89137,0.00488615,0.00488615,0.00488615
48,1029.66,0.84481,1.44608,0.56664,0.88411,0.86437,0.8668,0.91699,0.68368,0.85314,0.84548,0.89544,0.57089,0.7738,1.25177,0.48363,0.89117,0.00488368,0.00488368,0.00488368
49,1050.68,0.84254,1.4586,0.56425,0.88422,0.86441,0.87104,0.91882,0.6847,0.85088,0.85743,0.90183,0.59148,0.79143,1.23848,0.48003,0.89125,0.0048812,0.0048812,0.0048812
50,1071.51,0.8468,1.45594,0.56213,0.88447,0.86065,0.8678,0.9137,0.67828,0.85066,0.85109,0.89733,0.57871,0.80835,1.25453,0.50393,0.89539,0.00487873,0.00487873,0.00487873
51,1092.44,0.84848,1.46826,0.56224,0.88779,0.85828,0.88015,0.91439,0.68349,0.85908,0.85703,0.90117,0.59093,0.79376,1.23401,0.47422,0.89273,0.00487625,0.00487625,0.00487625
52,1113.11,0.83567,1.42786,0.56326,0.88469,0.85213,0.88143,0.91695,0.68848,0.84565,0.85664,0.89908,0.58738,0.77905,1.23607,0.49434,0.89134,0.00487378,0.00487378,0.00487378
53,1133.96,0.8326,1.4172,0.54875,0.88225,0.87233,0.87146,0.92172,0.68892,0.86292,0.85783,0.90421,0.58776,0.79179,1.23139,0.47218,0.8905,0.0048713,0.0048713,0.0048713
54,1155.15,0.83107,1.42941,0.54755,0.88228,0.87173,0.86651,0.91996,0.68894,0.85852,0.85035,0.89769,0.56813,0.7641,1.2476,0.46402,0.89029,0.00486883,0.00486883,0.00486883
55,1176.48,0.82987,1.41919,0.54827,0.88056,0.86737,0.87766,0.91756,0.684,0.8614,0.85507,0.90287,0.58762,0.79043,1.25577,0.48513,0.89182,0.00486635,0.00486635,0.00486635
56,1197.66,0.82568,1.42412,0.54767,0.88181,0.87211,0.86361,0.91502,0.681,0.86385,0.85055,0.90129,0.58493,0.79635,1.24447,0.472,0.89176,0.00486388,0.00486388,0.00486388
57,1218.51,0.83605,1.42249,0.55129,0.88163,0.87084,0.86058,0.91685,0.68791,0.86158,0.84358,0.89604,0.58404,0.76254,1.23454,0.47391,0.88633,0.0048614,0.0048614,0.0048614
58,1239.08,0.82778,1.43014,0.55747,0.88859,0.86759,0.86555,0.91583,0.68463,0.85901,0.84637,0.90134,0.59161,0.79184,1.23648,0.48024,0.89196,0.00485893,0.00485893,0.00485893
59,1260.56,0.83243,1.43669,0.54638,0.88351,0.86302,0.86774,0.90986,0.67963,0.85139,0.85597,0.89402,0.57667,0.79346,1.31061,0.48639,0.89111,0.00485645,0.00485645,0.00485645
60,1281.48,0.84086,1.44587,0.54576,0.88229,0.87062,0.87047,0.92012,0.68982,0.86737,0.85617,0.90512,0.59059,0.76577,1.22614,0.46091,0.88681,0.00485398,0.00485398,0.00485398
